ObservationID,ObservationDate,Telescope,Flux,FrequencyHz,SNR,DurationSec,DistanceLy,EventType
OBS000070,2015-01-03 21:00:00,Keck,338.384,1402466188.09,15.09,0.6236,574578.56,Signal
OBS000071,2015-01-03 22:00:00,VLT,525.28,1390582522.41,6.242,0.5231,913179.07,Noise
OBS000072,2015-01-03 23:00:00,HST,365.428,1391198219.79,13.5,1.1942,682923.03,Signal
OBS000073,2015-01-04 00:00:00,Keck,675.483,1439506862.36,12.683,1.3569,1193671.84,Noise
OBS000074,2015-01-04 01:00:00,HST,597.103,1369482860.35,11.676,0.7336,1696330.32,Signal
OBS000075,2015-01-04 02:00:00,VLT,511.453,1407657422.71,14.192,0.9006,1258183.72,Noise
OBS000076,2015-01-04 03:00:00,Keck,207.635,1380103855.26,12.792,0.8171,1513197.15,Noise
OBS000077,2015-01-04 04:00:00,JWST,381.99,1418165228.19,1.549,1.3192,1554563.34,Noise
OBS000078,2015-01-04 05:00:00,JWST,582.531,1405968624.72,10.382,0.1661,490569.62,Signal
OBS000079,2015-01-04 06:00:00,Keck,645.546,1407586886.98,14.126,0.9131,1219557.35,Signal
OBS000080,2015-01-04 07:00:00,VLT,633.1,1381102207.65,20.201,0.5819,1497578.68,Noise
OBS000081,2015-01-04 08:00:00,Chandra,308.958,1384688241.73,20.432,0.0932,782019.76,Noise
OBS000082,2015-01-04 09:00:00,Keck,536.186,1418545010.15,5.184,0.6918,604686.67,Noise
OBS000083,2015-01-04 10:00:00,HST,621.862,1435415954.43,10.251,1.3544,1265203.23,Noise
OBS000084,2015-01-04 11:00:00,Chandra,301.0,1409606156.34,4.169,0.6032,259185.56,Noise
OBS000085,2015-01-04 12:00:00,VLT,499.051,1382051585.58,19.599,1.0372,455997.71,Noise
OBS000086,2015-01-04 13:00:00,VLT,532.861,1406778770.45,17.064,1.1596,666621.83,Signal
OBS000087,2015-01-04 14:00:00,HST,463.908,1448549440.89,13.753,0.7962,1225257.11,Noise
OBS000088,2015-01-04 15:00:00,JWST,277.741,1402048456.21,12.83,0.8361,1109456.26,Noise
OBS000089,2015-01-04 16:00:00,VLT,460.916,1429236817.19,18.903,0.2851,1516185.44,Signal
OBS000090,2015-01-04 17:00:00,Chandra,460.723,1385193412.68,18.057,0.5852,539064.97,Noise
OBS000091,2015-01-04 18:00:00,Keck,482.231,1399158278.97,17.79,1.0721,512263.51,Signal
OBS000092,2015-01-04 19:00:00,Chandra,432.383,1412391304.12,14.283,0.8182,1261955.98,Signal
OBS000093,2015-01-04 20:00:00,Chandra,446.839,1407946566.17,10.254,0.9102,600666.55,Signal
OBS000094,2015-01-04 21:00:00,JWST,495.235,1384672226.4,15.836,0.8399,698248.04,Noise
OBS000095,2015-01-04 22:00:00,Chandra,553.095,1383809650.86,16.08,1.4576,71617.58,Noise
OBS000096,2015-01-04 23:00:00,JWST,463.469,1419765688.06,11.047,0.6708,1145423.0,Signal
OBS000097,2015-01-05 00:00:00,JWST,450.842,1423831016.25,10.244,1.2816,1770645.24,Signal
OBS000098,2015-01-05 01:00:00,VLT,511.082,1430242871.16,17.667,0.8401,485355.54,Signal
OBS000099,2015-01-05 02:00:00,VLT,269.49,1436078609.67,20.321,1.3083,1510851.81,Signal
OBS000100,2015-01-05 03:00:00,HST,557.244,1402692388.73,8.253,0.4325,970300.71,Signal
OBS000101,2015-01-05 04:00:00,Chandra,499.932,1393776015.12,10.683,0.8554,117292.68,Signal
OBS000102,2015-01-05 05:00:00,HST,504.763,1427019818.78,13.755,0.6819,552636.57,Noise
OBS000103,2015-01-05 06:00:00,Chandra,615.288,1414261385.64,14.433,0.8418,521766.33,Noise
OBS000104,2015-01-05 07:00:00,HST,265.662,1380350894.83,9.388,1.1667,841736.11,Noise
OBS000105,2015-01-05 08:00:00,VLT,263.14,1379327286.69,21.418,0.9136,1209757.14,Signal
OBS000106,2015-01-05 09:00:00,VLT,532.856,1409838604.03,14.11,1.1661,1924461.42,Signal
OBS000107,2015-01-05 10:00:00,VLT,499.146,1396454506.77,14.657,0.5989,284427.1,Signal
OBS000108,2015-01-05 11:00:00,VLT,520.421,1399471400.91,20.794,0.5531,757611.3,Signal
OBS000109,2015-01-05 12:00:00,Keck,444.545,1421450667.29,9.755,0.8048,552009.57,Noise
OBS000110,2015-01-05 13:00:00,VLT,579.722,1415180742.9,11.558,0.7884,366010.27,Noise
OBS000111,2015-01-05 14:00:00,JWST,611.917,1426597464.97,5.733,0.7442,1047723.84,Noise
OBS000112,2015-01-05 15:00:00,VLT,558.078,1361369277.87,11.138,0.5124,1000740.0,Signal
OBS000113,2015-01-05 16:00:00,Keck,468.701,1405067958.34,4.555,1.1596,93098.83,Noise
OBS000114,2015-01-05 17:00:00,Keck,247.077,1413893770.45,15.739,0.6911,1009075.26,Noise
OBS000115,2015-01-05 18:00:00,Keck,592.308,1369468282.87,14.1,1.2278,397302.0,Signal
OBS000116,2015-01-05 19:00:00,Keck,646.607,1386902087.17,10.615,0.8038,1005913.86,Noise
OBS000117,2015-01-05 20:00:00,HST,577.347,1383190296.75,11.498,0.9945,1634748.25,Signal
OBS000118,2015-01-05 21:00:00,HST,394.443,1400433963.42,15.807,0.9673,1231533.98,Noise
OBS000119,2015-01-05 22:00:00,JWST,580.855,1432557079.37,6.321,0.5527,1088758.55,Signal
OBS000120,2015-01-05 23:00:00,HST,603.264,1440451788.09,13.021,0.9102,735617.12,Noise
OBS000121,2015-01-06 00:00:00,Keck,687.058,1383714248.94,15.498,1.3785,1033433.83,Signal
OBS000122,2015-01-06 01:00:00,VLT,394.867,1410531145.01,3.089,0.8755,1281627.11,Noise
OBS000123,2015-01-06 02:00:00,VLT,472.825,1411175957.04,15.425,1.0704,1232083.17,Noise
OBS000124,2015-01-06 03:00:00,Keck,589.673,1407752515.43,3.63,1.008,950390.62,Noise
OBS000125,2015-01-06 04:00:00,Chandra,506.889,1407979592.69,11.412,0.8921,1108688.16,Noise
OBS000126,2015-01-06 05:00:00,Keck,365.921,1406074850.05,6.183,0.8559,341719.09,Signal
OBS000127,2015-01-06 06:00:00,HST,549.754,1433751402.42,19.156,0.9642,632831.61,Noise
OBS000128,2015-01-06 07:00:00,VLT,569.439,1422049330.29,6.214,1.029,1353779.88,Signal
OBS000129,2015-01-06 08:00:00,Keck,510.556,1378796922.05,3.749,0.3944,1421016.48,Noise
OBS000130,2015-01-06 09:00:00,VLT,526.35,1415914421.62,12.667,0.8742,1046799.3,Signal
OBS000131,2015-01-06 10:00:00,Keck,468.955,1417847467.49,9.931,0.7448,1739482.87,Noise
OBS000132,2015-01-06 11:00:00,Keck,677.393,1406299345.74,4.477,0.6825,1254009.71,Noise
OBS000133,2015-01-06 12:00:00,HST,391.917,1422628487.41,14.629,1.1888,883436.24,Noise
OBS000134,2015-01-06 13:00:00,Keck,429.522,1403761480.69,2.043,0.5801,390123.62,Noise
OBS000135,2015-01-06 14:00:00,VLT,501.318,1404009354.42,6.819,0.3816,1719366.63,Signal
OBS000136,2015-01-06 15:00:00,JWST,605.474,1402424810.89,9.124,1.0387,1385158.73,Noise
OBS000137,2015-01-06 16:00:00,VLT,320.315,1359635118.28,16.011,0.3739,1899155.71,Signal
OBS000138,2015-01-06 17:00:00,HST,342.764,1398392032.12,18.477,0.2216,2083423.73,Signal
OBS000139,2015-01-06 18:00:00,JWST,255.473,1386634988.51,17.514,1.0725,356529.85,Signal
OBS000140,2015-01-06 19:00:00,Keck,503.923,1376271040.44,11.234,0.8476,357833.13,Noise
OBS000141,2015-01-06 20:00:00,Chandra,365.803,1428680365.69,0.137,0.9418,431599.96,Noise
OBS000142,2015-01-06 21:00:00,JWST,453.854,1410084150.37,13.954,0.6673,1459181.07,Noise
OBS000143,2015-01-06 22:00:00,JWST,579.365,1399403378.38,19.353,0.3847,1328241.34,Signal
OBS000144,2015-01-06 23:00:00,Keck,423.015,1388703932.98,18.169,0.4443,1048889.5,Signal
OBS000145,2015-01-07 00:00:00,Chandra,527.754,1405923391.69,14.315,0.7183,386933.38,Noise
OBS000146,2015-01-07 01:00:00,Chandra,464.079,1419828721.87,6.052,0.4183,955483.16,Signal
OBS000147,2015-01-07 02:00:00,HST,580.654,1383460683.13,9.373,0.8921,1092352.75,Noise
OBS000148,2015-01-07 03:00:00,JWST,557.015,1399903432.55,21.669,0.6613,1391362.83,Noise
OBS000149,2015-01-07 04:00:00,Chandra,416.968,1417361329.98,4.916,0.8555,1136493.46,Signal
OBS000150,2015-01-07 05:00:00,HST,479.762,1361279977.42,6.261,0.8465,1331900.65,Noise
OBS000151,2015-01-07 06:00:00,Chandra,625.249,1398848604.75,16.713,0.916,937934.57,Noise
OBS000152,2015-01-07 07:00:00,JWST,547.205,1391414172.59,9.844,0.9498,1590740.95,Noise
OBS000153,2015-01-07 08:00:00,Chandra,332.365,1397323402.84,6.091,0.6968,1315865.04,Noise
OBS000154,2015-01-07 09:00:00,JWST,578.674,1389967428.87,19.64,0.8552,406533.46,Noise
OBS000155,2015-01-07 10:00:00,Keck,369.847,1402752492.1,14.305,0.8708,1694610.18,Signal
OBS000156,2015-01-07 11:00:00,VLT,669.502,1438472544.41,10.091,0.0713,1612785.76,Noise
OBS000157,2015-01-07 12:00:00,HST,622.892,1393521550.52,6.271,0.994,1232737.37,Noise
OBS000158,2015-01-07 13:00:00,Keck,534.786,1405834220.18,22.237,0.845,1140358.85,Noise
OBS000159,2015-01-07 14:00:00,Keck,518.868,1439894928.37,11.878,0.9692,1829305.78,Noise
OBS000160,2015-01-07 15:00:00,VLT,474.916,1388999688.43,18.987,0.4139,183343.57,Signal
OBS000161,2015-01-07 16:00:00,Chandra,581.423,1436293506.98,16.468,0.7053,1620612.26,Signal
OBS000162,2015-01-07 17:00:00,VLT,455.507,1400106460.13,9.395,0.4725,761896.65,Signal
OBS000163,2015-01-07 18:00:00,Keck,528.268,1435637924.52,9.435,1.0234,1547588.72,Noise
OBS000164,2015-01-07 19:00:00,Keck,604.632,1415004022.5,19.232,0.3785,1060187.92,Noise
OBS000165,2015-01-07 20:00:00,Keck,432.583,1406142167.25,19.313,0.5214,378536.99,Signal
OBS000166,2015-01-07 21:00:00,Chandra,426.057,1398687386.36,2.615,0.9603,751740.09,Noise
OBS000167,2015-01-07 22:00:00,JWST,356.676,1387519171.2,14.749,0.6112,1510864.54,Signal
OBS000168,2015-01-07 23:00:00,HST,372.263,1401515831.0,11.394,0.5215,894896.06,Noise
OBS000169,2015-01-08 00:00:00,JWST,280.593,1417947229.18,6.833,1.072,689257.29,Noise
OBS000170,2015-01-08 01:00:00,HST,587.579,1399737771.38,13.309,1.0843,685913.97,Noise
OBS000171,2015-01-08 02:00:00,HST,717.07,1393667543.9,5.252,1.0166,1321123.71,Noise
OBS000172,2015-01-08 03:00:00,HST,671.039,1394984349.32,9.668,1.0546,1875317.52,Noise
OBS000173,2015-01-08 04:00:00,VLT,304.87,1419849532.27,8.008,0.7305,70441.69,Noise
OBS000174,2015-01-08 05:00:00,VLT,586.983,1424503229.1,9.501,0.7386,2400342.22,Signal
OBS000175,2015-01-08 06:00:00,VLT,670.653,1386656989.72,11.643,0.6056,1101873.11,Noise
OBS000176,2015-01-08 07:00:00,Keck,445.183,1386628242.85,6.922,0.8503,1290112.07,Signal
OBS000177,2015-01-08 08:00:00,VLT,512.174,1407587178.39,19.866,0.6416,781869.13,Signal
OBS000178,2015-01-08 09:00:00,HST,259.053,1430550641.3,14.466,0.6701,998242.44,Noise
OBS000179,2015-01-08 10:00:00,Chandra,532.008,1422919806.17,20.973,0.98,1096256.51,Noise
OBS000180,2015-01-08 11:00:00,Keck,372.373,1374962955.76,11.2,1.1554,475452.0,Noise
OBS000181,2015-01-08 12:00:00,Chandra,523.956,1394718480.6,9.256,0.9195,597159.28,Signal
OBS000182,2015-01-08 13:00:00,HST,312.656,1381387928.91,20.792,1.3383,1592283.77,Signal
OBS000183,2015-01-08 14:00:00,Keck,565.143,1394649749.56,9.11,0.5883,223826.58,Noise
OBS000184,2015-01-08 15:00:00,VLT,622.942,1432088199.92,11.109,0.2486,1220519.55,Noise
OBS000185,2015-01-08 16:00:00,Keck,406.018,1371547987.02,15.6,1.0144,814741.55,Noise
OBS000186,2015-01-08 17:00:00,Keck,363.569,1367622694.13,5.811,0.5684,519646.43,Noise
OBS000187,2015-01-08 18:00:00,HST,241.277,1383428916.93,15.556,0.7179,1985965.93,Noise
OBS000188,2015-01-08 19:00:00,JWST,468.03,1405746212.05,14.917,0.2691,522748.72,Noise
OBS000189,2015-01-08 20:00:00,JWST,430.209,1412415096.41,18.347,0.5302,434949.0,Signal
OBS000190,2015-01-08 21:00:00,JWST,313.878,1408748968.7,16.45,0.3493,906513.65,Noise
OBS000191,2015-01-08 22:00:00,VLT,554.362,1423513708.06,18.5,0.6697,615720.68,Signal
OBS000192,2015-01-08 23:00:00,VLT,446.004,1364738288.12,11.448,0.6816,1003190.33,Signal
OBS000193,2015-01-09 00:00:00,VLT,370.912,1423766730.77,7.687,0.827,1077699.65,Noise
OBS000194,2015-01-09 01:00:00,JWST,433.451,1393758093.6,22.55,1.1719,1117329.03,Noise
OBS000195,2015-01-09 02:00:00,Chandra,628.557,1414629886.2,4.367,1.0031,938054.58,Signal
OBS000196,2015-01-09 03:00:00,HST,572.352,1373531491.46,4.867,0.3133,648919.15,Signal
OBS000197,2015-01-09 04:00:00,JWST,484.397,1400099133.94,14.826,0.9824,1321701.52,Noise
OBS000198,2015-01-09 05:00:00,HST,574.293,1404725415.41,20.125,0.8335,944153.62,Noise
OBS000199,2015-01-09 06:00:00,JWST,360.691,1423115020.75,12.948,0.7707,752191.34,Noise
OBS000200,2015-01-09 07:00:00,Chandra,503.884,1368294907.55,16.997,0.7932,1739996.85,Signal
OBS000201,2015-01-09 08:00:00,JWST,517.679,1400615050.97,2.021,0.8614,939344.02,Noise
OBS000202,2015-01-09 09:00:00,Chandra,443.62,1378295294.18,9.502,0.5924,1545993.3,Signal
OBS000203,2015-01-09 10:00:00,Keck,552.255,1410109920.88,2.63,0.7453,1613419.22,Noise
OBS000204,2015-01-09 11:00:00,VLT,406.348,1415544330.73,15.902,1.1552,1643836.42,Signal
OBS000205,2015-01-09 12:00:00,Keck,561.178,1425743404.85,4.264,0.5888,1345578.9,Noise
OBS000206,2015-01-09 13:00:00,JWST,566.223,1389299410.91,5.611,0.491,999683.25,Signal
OBS000207,2015-01-09 14:00:00,VLT,149.941,1418544529.71,14.57,0.7815,967979.15,Signal
OBS000208,2015-01-09 15:00:00,Chandra,642.837,1427218031.75,17.309,0.4608,877939.94,Signal
OBS000209,2015-01-09 16:00:00,JWST,134.284,1367135060.6,11.205,0.2832,83447.84,Noise
OBS000210,2015-01-09 17:00:00,VLT,426.074,1412246898.4,14.851,0.6967,1359403.4,Signal
OBS000211,2015-01-09 18:00:00,JWST,623.042,1419170225.08,14.689,1.2346,1122232.78,Signal
OBS000212,2015-01-09 19:00:00,VLT,461.926,1394825472.27,10.923,0.7884,1412762.13,Noise
OBS000213,2015-01-09 20:00:00,VLT,324.058,1375784528.45,6.526,0.8536,941499.22,Noise
OBS000214,2015-01-09 21:00:00,Keck,368.752,1418859115.12,14.824,0.161,1332412.58,Noise
OBS000215,2015-01-09 22:00:00,VLT,623.229,1376009823.45,15.065,0.9314,311246.47,Signal
OBS000216,2015-01-09 23:00:00,JWST,269.419,1396432971.31,16.47,0.828,415367.2,Noise
OBS000217,2015-01-10 00:00:00,HST,635.479,1399197518.84,13.56,0.6005,238105.8,Noise
OBS000218,2015-01-10 01:00:00,HST,493.388,1414310761.03,6.158,0.854,932825.4,Noise
OBS000219,2015-01-10 02:00:00,Keck,356.913,1387467368.81,15.452,0.851,613737.21,Noise
OBS000220,2015-01-10 03:00:00,Chandra,430.026,1386308326.22,11.993,0.4822,548309.06,Signal
OBS000221,2015-01-10 04:00:00,HST,377.933,1401978309.58,9.586,0.8996,1167326.19,Signal
OBS000222,2015-01-10 05:00:00,Keck,603.947,1420127809.55,10.527,1.1591,787246.4,Signal
OBS000223,2015-01-10 06:00:00,VLT,587.891,1445749000.01,8.549,0.7316,283454.5,Signal
OBS000224,2015-01-10 07:00:00,JWST,293.701,1369850376.0,16.444,0.5397,2272383.39,Noise
OBS000225,2015-01-10 08:00:00,VLT,451.569,1406306840.36,4.909,0.7467,981494.69,Signal
OBS000226,2015-01-10 09:00:00,JWST,396.418,1378269299.48,7.033,1.0564,458418.47,Noise
OBS000227,2015-01-10 10:00:00,Chandra,655.221,1420376224.86,10.356,0.4321,665082.27,Noise
OBS000228,2015-01-10 11:00:00,Keck,337.988,1381229109.05,20.069,0.9736,913428.52,Noise
OBS000229,2015-01-10 12:00:00,Keck,692.507,1386507035.64,17.271,0.5966,912377.02,Signal
OBS000230,2015-01-10 13:00:00,HST,496.005,1388214582.82,3.796,0.8726,1651082.14,Noise
OBS000231,2015-01-10 14:00:00,Keck,360.568,1398476021.23,18.757,0.6307,960285.02,Signal
OBS000232,2015-01-10 15:00:00,Chandra,418.727,1406463951.94,18.747,0.6299,1927604.09,Signal
OBS000233,2015-01-10 16:00:00,HST,403.806,1409674027.87,6.13,1.2569,783788.53,Noise
OBS000234,2015-01-10 17:00:00,VLT,347.046,1399884649.08,0.607,0.3773,1213218.02,Noise
OBS000235,2015-01-10 18:00:00,Keck,511.379,1373402179.55,11.639,0.9456,1510990.1,Noise
OBS000236,2015-01-10 19:00:00,VLT,352.65,1414555723.01,17.612,1.3194,1597576.15,Signal
OBS000237,2015-01-10 20:00:00,VLT,238.356,1398940826.73,19.956,1.0057,1655936.11,Noise
OBS000238,2015-01-10 21:00:00,Keck,454.439,1423234695.8,7.646,0.4007,863994.13,Signal
OBS000239,2015-01-10 22:00:00,JWST,283.657,1385845224.41,20.76,0.4155,997255.37,Noise
OBS000240,2015-01-10 23:00:00,VLT,409.741,1367954505.45,0.86,0.5745,239711.28,Signal
OBS000241,2015-01-11 00:00:00,HST,390.908,1399319479.95,10.16,0.8474,901994.98,Noise
OBS000242,2015-01-11 01:00:00,Keck,395.454,1425919053.77,9.914,0.8678,1545627.09,Signal
OBS000243,2015-01-11 02:00:00,HST,740.116,1403218842.73,17.762,0.4185,1448418.24,Noise
OBS000244,2015-01-11 03:00:00,VLT,506.769,1396006604.02,18.492,0.5382,956756.44,Noise
OBS000245,2015-01-11 04:00:00,VLT,529.445,1382593059.65,16.771,0.5566,1849569.72,Noise
OBS000246,2015-01-11 05:00:00,HST,286.832,1435155329.33,5.247,0.7458,807997.36,Signal
OBS000247,2015-01-11 06:00:00,VLT,421.524,1379407948.1,16.313,1.3954,641930.09,Noise
OBS000248,2015-01-11 07:00:00,Keck,525.836,1385492114.85,14.545,0.52,765919.13,Noise
OBS000249,2015-01-11 08:00:00,VLT,377.057,1411400683.92,3.644,0.5069,438767.49,Noise
OBS000250,2015-01-11 09:00:00,HST,608.968,1362879586.2,1.665,0.4601,1311197.52,Noise
OBS000251,2015-01-11 10:00:00,HST,355.676,1425491813.31,17.19,0.9907,1144240.91,Noise
OBS000252,2015-01-11 11:00:00,Keck,465.636,1412483862.28,11.1,0.7876,1304989.72,Noise
OBS000253,2015-01-11 12:00:00,HST,429.674,1417984621.44,5.574,0.5311,792814.42,Noise
OBS000254,2015-01-11 13:00:00,JWST,519.718,1411162340.24,10.959,0.6912,970963.51,Signal
OBS000255,2015-01-11 14:00:00,VLT,423.141,1396777529.65,13.82,0.5625,89209.36,Signal
OBS000256,2015-01-11 15:00:00,HST,467.493,1378737025.8,11.586,0.8888,1188112.78,Noise
OBS000257,2015-01-11 16:00:00,VLT,471.664,1397198491.18,4.24,1.6053,1049420.73,Noise
OBS000258,2015-01-11 17:00:00,HST,411.873,1380495273.76,21.428,0.9653,449736.17,Signal
OBS000259,2015-01-11 18:00:00,HST,558.211,1409723106.2,17.021,0.7721,947671.23,Signal
OBS000260,2015-01-11 19:00:00,Keck,528.607,1416135596.61,10.323,0.6005,871075.35,Signal
OBS000261,2015-01-11 20:00:00,VLT,489.366,1429536172.62,10.525,0.397,1882155.97,Signal
OBS000262,2015-01-11 21:00:00,HST,448.345,1407435352.81,13.797,1.0201,469436.52,Noise
OBS000263,2015-01-11 22:00:00,JWST,595.585,1418491507.13,6.352,1.0038,1165713.09,Noise
OBS000264,2015-01-11 23:00:00,Chandra,471.7,1394057105.26,13.613,0.6602,454615.82,Signal
OBS000265,2015-01-12 00:00:00,Chandra,463.196,1390434457.24,5.346,1.164,721063.28,Noise
